Name,WOD 1,WOD 2,WOD 3
CHRISTINE TENSLEY,360.0,37.0,200.0
MICHELLE SUOZZI,436.0,35.0,195.0
ALLISON CARLEY,363.0,33.0,195.0
KAREN  MCCADAM,445.0,32.0,200.0
LAURA NIELSEN ,495.0,34.0,205.0
ERIN CARTER,357.0,32.0,192.0
SHANNON  O’DELL,470.0,32.0,198.0
MARINA NOVELLI,495.0,34.0,187.0
LORI BARTH,569.0,37.0,213.0
MELISSA WISTROM,402.0,31.0,185.0
TRACEY MAURICE,422.0,31.0,185.0
KATIE KRUSE,478.0,31.0,185.0
SARAH HOWARD-CARTER,588.0,33.0,210.0
INGUNN LUDVIKSDOTTIR,487.0,28.0,198.5
KATHRYN AUSTIN,538.0,32.0,187.0
JESSICA MANFRO,489.0,30.0,182.0
REGINA  LOGRASSO,562.0,31.0,187.0
DANICA ROLFE,511.0,31.0,175.0
HEATHER WOOD,540.0,29.0,180.0
CRISTY LEBLANC-ROSE,617.0,29.0,205.0
AIDA  KOEPPLINGER,446.0,26.0,180.0
JESSICA MARTINEZ,509.0,29.0,175.0
DEBORA DIEGAS,686.0,31.0,225.0
LISA  LAKE ,545.0,26.0,183.0
JACKIE CLARK,543.0,27.0,180.0
AMY CHATFIELD,585.0,28.0,185.0
JENN SHORT,601.0,30.0,180.0
DANYA ARMSTRONG ,472.0,26.0,167.0
ALEXANDRA KOLAM,696.0,29.0,200.0
KATRINA LYNCH-ALLEN,684.0,32.0,182.0
KIKI HATZIDIMITRIOU,679.0,26.0,200.0
AMY SPEED-ANDREWS ,587.0,26.0,180.0
AMANDA DENNIS,523.0,22.0,180.0
COURTNEY HARRIS,579.0,25.0,180.0
LEIGHA MACIEL,679.0,33.0,167.0
SARA JOY,556.0,29.0,160.0
LUCIANE MACIAS,537.0,25.0,165.0
CAMILLE SALAZAR,502.0,26.0,160.0
CASSANDRA STAMM,546.0,24.0,167.0
LEAH PURVIS,668.0,27.0,180.0
LAMEACE  SALMAN,566.0,24.0,167.0
AMY KIMSEL,665.0,28.0,175.0
HELEN LANGKILDE,619.0,27.0,170.0
MARIA BRUNO,415.0,22.0,157.0
JESSICA FITZGIBBONS,566.0,28.0,155.0
BETHANNE  PLASMAN ,600.0,22.0,180.0
VIRGINIE ROUSSEAU,550.0,24.0,161.0
THERESA DOWNS,571.0,25.0,162.0
JENNIFER  HALEY,594.0,20.0,175.0
ELIZABETH WEIR,608.0,22.0,172.0
CARLA JOYCE,712.0,26.0,175.0
STACEY GILMORE,654.0,24.0,166.0
ANDREIA NAVES,765.0,22.0,186.0
JAMIE  LEAVELL,548.0,20.0,155.0
JESSICA FOX,630.0,19.0,168.0
DOMINIKA SULEK,627.0,24.0,155.0
JESSI ALBIN,610.0,18.0,165.0
KENDRA  PODIELSKY ,720.0,24.0,165.0
AMY BEATTY,716.0,26.0,155.0
VANESSA SWEAZEY,834.0,29.0,155.0
JEANETTE SCHACHER,569.0,20.0,145.0
JULIE TUCKER,602.0,22.0,145.0
TIFFANY KEMPTON,734.0,23.0,165.0
SHANA KRANT,659.0,22.0,155.0
KINSLEY-MARISSA  OGARROW,705.0,15.0,175.0
TASHA CHRISTIE,682.0,18.0,165.0
SHELLY PETERSON,493.0,14.0,137.0
KARIN JONCZAK,671.0,21.0,155.0
