Name,WOD 1,WOD 2,WOD 3
DANI SPEEGLE,341.0,41.0,250.0
HAYLEY MURILLO,331.0,41.0,239.0
MICHELLE KWAK,329.0,38.0,242.0
KRISTINE BEST,346.0,40.0,230.0
GABRIELA MIGAŁA,354.0,38.0,231.48
CHANTELLE LOEHNER,386.0,41.0,235.0
RACHEL GARIBAY,357.0,36.0,240.0
EMILY  TANNER ,393.0,39.0,240.0
COLLEEN FOTSCH,403.0,43.0,236.5
ANNA RODE,369.0,40.0,215.0
CHELSEY HUGHES,374.0,38.0,222.0
KESTON MENDOZA,345.0,37.0,215.0
TORI DYSON,356.0,37.0,215.0
EMMA FERREIRA,361.0,40.0,210.0
NICOLE COREY,365.0,36.0,222.0
CAMILA LOPEZ,402.0,38.0,227.0
KT TROMBETTA,401.0,38.0,225.0
TAYLOR KNISELY,364.0,43.0,207.0
KIMBERLEE DEKREY,381.0,38.0,215.0
ELIZABETH BRADLEY,357.0,40.0,207.0
KENDALL VINCELETTE,376.0,37.0,215.0
ERIN VANDENDRIESSCHE ,365.0,37.0,212.0
WINTER RODRIGUEZ,427.0,40.0,235.0
SAMANTHA PUGH,403.0,40.0,215.0
KELSEY KIEL,430.0,39.0,245.0
HEATHER SOU,336.0,36.0,212.0
CONSTANZA CABRERA,370.0,34.0,235.0
CAMZIN MARTIN,400.0,36.0,232.0
DESIREE ROGERS,373.0,37.0,212.0
STEPHANY OSORTO,408.0,36.0,237.0
DANIELLE KEARNS,392.0,39.0,212.0
LINDSEY VALENZUELA,396.0,37.0,217.0
TAYLOR STREID,377.0,37.0,212.0
VICKY CARUSO,410.0,36.0,236.0
ANITA PRAVATTI,389.0,38.0,214.0
NICOLE BURKE,340.0,37.0,206.0
PIP MALONE,356.0,33.0,229.0
CHELSEA NICHOLAS,403.0,36.0,225.0
MELISA ALONSO,371.0,38.0,205.0
TAMMY WILDGOOSE,396.0,38.0,211.5
SHELBY NEAL,356.0,34.0,216.0
TAYLOR RECTOR,385.0,37.0,210.0
ABIGAIL DAVILA,408.0,35.0,228.0
KAELA STEPHANO,340.0,36.0,205.0
MARILYN HOPKINS,369.0,36.0,207.0
MEGIN SHEPHERD,441.0,37.0,233.0
LEAH IRONS,400.0,38.0,207.0
JOSIE HAMMING,369.0,35.0,210.0
MARY LOU WOMACK,403.0,34.0,223.0
JORDAN CHRISTIE,374.0,36.0,205.0
ALLISON RALFS,449.0,37.0,232.0
ASHLEY RINCON,392.0,37.0,205.0
AMANDA DELLER,447.0,36.0,240.0
STACEY MARINO,432.0,36.0,222.0
AMANDA  HARDEMAN,431.0,36.0,220.0
TARA DEMERS,374.0,34.0,210.0
DANI OLSON,414.0,36.0,212.0
KARLA WOLFORD,413.0,38.0,205.0
SELINA PAUPERT,385.0,35.0,207.0
BREONA EVANS,364.0,37.0,195.0
CAROLINE CONNERS,404.0,35.0,211.0
KELLEY JACKSON,325.0,36.0,195.0
NICOLE CORRIERO,410.0,35.0,212.0
BAILEY GARRETT,416.0,36.0,210.0
MICHELLE BASNETT,416.0,34.0,219.0
CARLIE  STONE,415.0,37.0,205.0
SARAH  VIETS,391.0,33.0,212.0
MEG ALLISON IAFRATE,431.0,35.0,215.0
NIKITA DICKS,422.0,34.0,217.0
ALISON STALL,366.0,36.0,195.0
