Name,WOD 1,WOD 2,WOD 3
LUIS GUILLERMO NUÑEZ HERNÁNDEZ,342.0,35.0,305.0
MATT POULIN,339.0,36.0,295.0
KAMERON THEEDE,301.0,40.0,285.0
DOMENIC TERCERO D’AGOSTINO,378.0,34.0,307.0
GAVIN DAWSON,289.0,44.0,283.0
LEONEL  FRANCO ,332.0,31.0,310.0
BOBBY VIZZARI,366.0,35.0,297.0
LOUIS MARTINELLI,364.0,32.0,305.0
RICH DUPELL,351.0,33.0,290.0
KERRY VALLE,368.0,34.0,295.0
DANNY OUELLET,359.0,35.0,286.0
JUSTIN FIELD,336.0,33.0,285.0
CRAIG HORNE,326.0,36.0,279.0
JEREMY TURNER,398.0,35.0,305.0
ALEJANDRO BRITO,370.0,33.0,295.0
PEYTON YANDEL,342.0,33.0,285.0
SERGIO MARTINEZ,350.0,37.0,280.0
SHANE CAVANAUGH,338.0,31.0,297.0
MATT KAAS,383.0,36.0,290.0
TRAVIS HALL,415.0,35.0,325.0
CHRISTOPHER  HILDER,338.0,34.0,277.0
CESAR  VALLEJO ,378.0,31.0,305.0
ROBERT GALLAGHER,331.0,30.0,305.0
JT RODGER,395.0,35.0,292.0
SHAUN MARSHALL,364.0,32.0,287.0
DEMOKRAT RAMA,386.0,33.0,292.0
GAVIN BIRKETT,360.0,31.0,295.0
JAKE GILES,390.0,31.0,315.0
ANDRE LOZANO,291.0,31.0,285.0
ALLEN WASINGER,429.0,39.0,330.0
JUSTIN RICHARDSON,364.0,36.0,277.0
JAKE  MULLEN ,403.0,32.0,305.0
PETER NELLIS,370.0,31.0,295.0
JONATHAN DUNCAN,374.0,31.0,295.0
GEORGE LOUZEK,419.0,35.0,302.0
SHANE  LLOYD,410.0,33.0,297.0
TOM SHEPPARD,396.0,34.0,285.0
ROBBIE RODRIGUEZ ,436.0,35.0,315.0
MATT SPRINKLER,375.0,33.0,280.0
ALVIN HUDSON,407.0,32.0,300.0
JAKE OUELLETTE,412.0,32.0,302.0
MARGARITO  LUGO JR ,388.0,32.0,287.0
STEPHEN VALDEZ-JONES,395.0,32.0,290.0
ESTEBAN EDUARDO BURGOS MARTINEZ,369.0,32.0,280.0
ALEXANDER VALADJA,425.0,32.0,310.0
BRANDON TRUE,412.0,35.0,286.0
NATHAN  GARCIA ,318.0,31.0,277.0
KEVIN SUAREZ,388.0,32.0,285.0
GREGORY DOUGLAS ,379.0,33.0,278.0
AJ LIZOTTE ,369.0,33.0,275.0
JOHN SCHIAVO,320.0,42.0,265.0
RODRIGO GUERRA,328.0,30.0,285.0
AUSTIN  THOMAS ,418.0,33.0,290.0
TODD WEIGEL ,361.0,30.0,290.0
MARIO RAFAEL  SANTAELLA ,363.0,32.0,275.0
NICHOLAS  ALTGILBERS ,404.0,32.0,285.0
LEONARDO VERAS,401.0,31.0,290.0
DOSS MACKEY,413.0,35.0,280.0
SALMAN ALBADER,389.0,31.0,286.0
ADAM BAILLIE,422.0,32.0,295.0
LUIS MOJICA ORTIZ,386.0,33.0,275.0
JOHNNY MALGERI,347.0,31.0,275.0
MATT  CASS,348.0,33.0,270.0
JOSHUA MUNOZ,401.0,34.0,275.0
KYLE HICKS ,385.0,31.0,284.0
JB MLAMBO ,345.0,35.0,265.0
ROY COHEN,363.0,29.0,297.0
ANDRES GARCÍA DE ALBA,392.0,30.0,300.0
NOAH JOHNSON,353.0,31.0,275.0
BOBBY HINES,354.0,31.0,275.0
BRYCE WERNER,414.0,33.0,282.0
MARTÍN  GOMEZ,433.0,33.0,287.0
NIALL HANNAGEN,379.0,31.0,277.0
DINO SANNA,331.0,33.0,265.0
ZAC COURTIER,327.0,32.0,267.0
TRACE CROMER,410.0,31.0,285.0
BRYCE CUMMINGS,419.0,31.0,290.0
JACOB DOYON,380.0,34.0,270.0
BEN STEEVER,442.0,31.0,305.0
PAUL SAKOWSKI,393.0,31.0,277.0
DANIEL CHURCH,415.0,32.0,278.0
JONATHAN  EDEL ,419.0,32.0,280.0
JAMES ENGESSER,357.0,32.0,267.0
JARED SILVERMAN,341.0,31.0,271.0
NICK BADER,440.0,30.0,335.0
PHILLIPPE RENAUD,385.0,34.0,266.0
KOLTON PORTER,413.0,32.0,275.0
MARTIN CONDE,351.0,31.0,270.0
MAX SUITS,378.0,29.0,285.0
ADAM JOSEPH,340.0,33.0,262.0
DAVID TARDIF,379.0,30.0,277.0
MADISON TOWNLEY,377.0,28.0,295.0
DAVID  REEKIE ,483.0,34.0,307.0
TRACE THEWS,438.0,30.0,301.0
KOREY BROMERY,419.0,30.0,287.0
GABRIEL COLON,425.0,32.0,275.0
FRANCISCO FABIAN  SEPÚLVEDA ESPINOZA,403.0,30.0,280.0
HERM DOMINGUEZ,480.0,35.0,295.0
JAMES  DOHERTY,471.0,33.0,292.0
JUSTIN ALLEN,432.0,32.0,275.0
DEREK LUCIO,427.0,31.0,277.0
ALEXANDER KITTL,379.0,31.0,270.0
DEVIN WATSON,361.0,31.0,265.0
FRANCISCO W.I. RODRIGUEZ DEL VALLE,457.0,30.0,310.0
JORGE  MAURA ,356.0,33.0,255.0
GUALBERTO  PÉREZ ,408.0,29.0,285.0
JAKE LAUDERMILK,407.0,33.0,265.0
BRANDON DALLACQUA,451.0,30.0,301.0
JASON JONES,479.0,32.0,296.0
CORBAN CRESSLEY,351.0,28.0,276.0
JAIME NATIVIDAD,497.0,32.0,318.0
BEN BROWN,413.0,30.0,277.0
JOAQUIN RAMIREZ,355.0,30.0,266.0
FRANK  DELANEY,426.0,30.0,280.0
BRUNO  CARO ,418.0,29.0,285.0
BANE EVANS,408.0,30.0,275.0
RANDY TRIUNFEL ,408.0,30.0,275.0
MICHAEL ESPINOSA,399.0,28.0,285.0
BRIAN LEE,454.0,30.0,295.0
JOE RIVELLI JR,450.0,31.0,277.0
MIGUEL SANTIS,397.0,31.0,265.0
DAVID FOLMER,440.0,31.0,275.0
MAXX MILLER,378.0,32.0,255.0
ZACHARY MARINO,405.0,31.0,266.0
STEPHEN MEADOR,365.0,30.0,265.0
ERIC LIBARDONI,366.0,30.0,265.0
PAUL ROLLER,455.0,30.0,287.5
JOHN VAUTIER,450.0,31.0,276.0
NATE GONZALEZ,403.0,29.0,275.0
ANDRES ESCOBAR,434.0,32.0,267.5
DARRYL SALIVA,378.0,28.0,275.0
GABRIAN MEIER,434.0,29.0,282.0
BRICE WARNER,373.0,29.0,267.0
ERIK JERNBERG,509.0,31.0,308.0
GHYSLAIN GALLANT,413.0,29.0,275.0
ALEX GORDON,417.0,34.0,255.0
MICHAEL JACKSON,499.0,31.0,300.0
JONATHAN MULVIHILL,460.0,30.0,285.0
JEREMY KANE,457.0,29.0,295.0
RYAN BAILEY,451.0,28.0,305.0
WES WUTHRICH,441.0,32.0,267.0
CASEY BEAUDOUIN,473.0,32.0,275.0
THOMAS SCOTT,390.0,31.0,262.0
MOISES ROMERO ,358.0,30.0,260.0
JORGE LEMUS,538.0,33.0,337.0
TRAVIS KROTHE,501.0,31.0,290.0
DALTON WEBB,379.0,29.0,265.0
BRIAN ST. JOHN,379.0,27.0,275.0
CHRIS  MANDRINO ,369.0,30.0,256.0
JAVIER STAMPA PÉREZ-PRAT,412.0,30.0,265.0
IVAN HIDALGO,504.0,30.0,305.0
HECTOR ORTIZ,430.0,27.0,285.0
ALEX RUGGIERE,373.0,32.0,247.0
JUAN LAURIA,462.0,32.0,267.5
DANIEL BAUER,387.0,28.0,270.0
CADE CASTRO,471.0,28.0,305.0
DAVID VELAZQUEZ,391.0,29.0,265.0
YAN PASCHOAL,468.0,30.0,277.2
JOHN MARTIN,520.0,31.0,300.0
RICH GLENN,406.0,29.0,266.0
KRIS GOKEY,359.0,26.0,275.0
DAVID FOSTER,406.0,29.0,265.0
MATIAS RODRIGUEZ,478.0,33.0,266.0
KYLE STARK,499.0,30.0,290.0
FERCHO GARCIA,420.0,31.0,257.5
DAVON GERALDS,495.0,30.0,285.0
BRENDAN SNYDER,469.0,30.0,275.0
HANS KOELLNBERGER,446.0,27.0,285.0
IVAN YAVTUSHENKO,360.0,27.0,265.0
JOSH YOUNG,516.0,31.0,285.0
DIOGO DIAS,498.0,30.0,285.0
EDGAR MARTINEZ,434.0,30.0,265.0
MATTHEW  LOVINGOOD ,454.0,29.0,275.0
STEVEN  CARLES,554.0,31.0,323.0
TRISTEN MAYFIELD,496.0,31.0,275.0
MATTHEW CLYDE,433.0,29.0,267.0
GIANPAOLO BERNARDO,445.0,30.0,266.0
EDGAR FONSECA GONZALEZ,440.0,28.0,275.0
BEN MCDONALD,453.0,30.0,268.0
ALEC RODARTE,441.0,29.0,270.0
TIMOTHY NATIVIDAD,441.0,28.0,275.0
GREG FARRIS,386.0,31.0,248.0
JACK MAYO,463.0,33.0,257.0
RUBEN MAZZA,476.0,29.0,277.0
ABEL SANDOVAL,357.0,28.0,255.0
JEFFERY MOSS,320.0,29.0,250.0
DAVID SEGUN,429.0,26.0,280.0
ROBIN MORALES,405.0,31.0,252.0
TEDDY MCCLELLAND,516.0,31.0,280.0
JAKE HORTON,443.0,31.0,260.0
EDUARD TORRES,380.0,27.0,265.0
JÉRÔME  MONTAGNE,453.0,32.0,255.0
JONATHAN ARREDONDO TUEME,442.0,27.0,276.0
GUY LAPOINTE ,447.0,28.0,275.0
SEAN LEFLOCH,355.0,30.0,245.0
ANTHONY PIETSCH,449.0,27.0,277.0
TRENT MEEKS,403.0,25.0,277.0
RYAN DOLL,414.0,27.0,270.0
SHANE KAUFMAN,447.0,29.0,267.5
JUSTIN BOGEDIN,505.0,28.0,305.0
MAURICIO ALARCON,420.0,30.0,255.0
CECIL BRUSHWOOD,526.0,29.0,315.0
STEPHEN THOMPSON,461.0,30.0,266.0
KORY BURNETT,493.0,30.0,275.0
KENNETH WOODS,512.0,33.0,270.0
JOHN WIMMER,378.0,30.0,247.0
AFEEF HUSNI,508.0,28.0,302.0
BRENTLEY SCANNELL,423.0,29.0,262.0
JONATHAN BECK,476.0,30.0,270.0
ANDRES  MENDEZ,385.0,27.0,263.7
KARIM DIAZ DE LEÓN ,497.0,30.0,275.0
AUSTIN  SPRONG,377.0,30.0,245.0
GATLIN PRIMROSE,460.0,27.0,277.0
RANDY SANTANA,567.0,31.0,300.0
RYAN TANGUAY,362.0,27.0,255.0
NOBLE TUCKER,449.0,26.0,280.0
ROBERT NORTON,464.0,28.0,275.0
JOHNATHON  STEPHENS,443.0,26.0,277.0
MATT STERLEY,433.0,29.0,261.0
JARED MALAGON,491.0,29.0,275.0
NICO VIVARELLI,433.0,40.0,243.0
ROBERTO RIVERA NEGRON,389.0,30.0,245.0
