Name,WOD 1,WOD 2,WOD 3
DJ SLIVKA,373.0,27.0,245.0
RICHARD WALBERT,340.0,35.0,195.0
JASON RICHARDSON,365.0,19.0,265.0
RYAN HANSEN,646.0,7.0,319.1
REUBEN JACKSON,664.0,20.0,245.0
JOHN HOSEGOOD,380.0,22.0,228.0
IAN FIGUEROA,511.0,21.0,235.0
REEF WARFIELD,275.0,21.0,230.0
ALEXANDER  PENA,340.0,21.0,225.0
NICK BOUMERHI,720.0,18.0,245.0
MIKE LEVINE,425.0,24.0,155.0
GREGORY DEPASQUALE,542.0,32.0,185.0
ROWAN NEWMAN,325.0,16.0,205.0
WILMER  LINO,636.0,27.0,166.0
THOR NORGAARD,562.0,15.0,205.0
AUSTYN ADAMS,354.0,14.0,205.0
KYLE SAWCHUK,502.0,12.0,215.0
MAX KARNEOL,600.0,12.0,215.0
BILLY METTEBA,415.0,11.0,215.0
NORMAN CARRINGTON,699.0,17.0,185.0
SHANE  EASTWOOD ,688.0,28.0,165.0
RYAN EDELSON,720.0,33.0,205.0
ALEXIS MEJIA,472.0,12.0,205.0
JEREMY CRAFT,540.0,12.0,205.0
TED ADAMS,690.0,12.0,205.0
DOMINIC COBB,796.0,11.0,205.0
TIMOTHY  SAIPRAMUK,415.0,15.0,170.0
JULIEN FRIGGERI,720.0,23.0,165.0
ELISHA ROMERO,777.0,35.0,185.0
JOSH SAWICKI,882.0,10.0,200.0
NICHOLAS FULLER,408.0,9.0,190.0
RYAN LEE,720.0,14.0,125.0
MICHAEL VALENTINO,366.0,10.0,177.0
PAUL CONTE ,383.0,8.0,185.0
JON JARRIN,392.0,8.0,185.0
CORY KRANTZ,795.0,26.0,155.0
ALEX JADESZKO,862.0,30.0,175.0
CAM MOLINA,620.0,9.0,175.0
THOMAS STEELE,700.0,7.0,185.0
GW BEAUX DYSON,573.0,8.0,175.0
BUTCH CARPENTER,718.0,7.0,185.0
ALEX COUPE,296.0,43.0,215.0
RUBEN RAMIREZ,308.0,46.0,215.0
ERIC WENNERSTROM,309.0,39.0,205.0
COLLIN LAWRENCE,343.0,36.0,205.0
JAKE HAYDEN,699.0,4.0,185.0
DAVID ROIG,340.0,35.0,195.0
DANIEL BOWERS,308.0,33.0,185.0
BERNARDO PEREIRA SISCONETTO LEMOS,340.0,33.0,185.0
JOAO ROCHA,905.0,25.0,185.0
JOSIAH ELLIS,392.0,37.0,195.0
JUSTIN FENUS,458.0,40.0,225.0
CARLOS ESCANILLA,387.0,36.0,185.0
URIAH EILINGER,880.0,18.0,165.0
DON HERBERT,306.0,33.0,165.0
ADAM BREWER,537.0,35.0,240.0
JASON MURPHY,525.0,35.0,215.0
CONNER JURE,890.0,27.0,135.0
CHRIS CARR,253.0,33.0,160.0
ALAN HATCHER,369.0,28.0,185.0
CHETAN PATEL,406.0,35.0,175.0
MIKE HORSEMAN,431.0,32.0,195.0
ADAM ST. GERMAIN,882.0,18.0,145.0
SHANE WILSON,1014.0,21.0,185.0
NICKOLAS MANYCH,430.0,31.0,190.0
STEFAN KINNIN,379.0,27.0,185.0
PEDRAM ETEBARI,385.0,48.0,150.0
HUGH HARRELL,904.0,22.0,135.0
ANDERSON KAKAROTTO TOVAR LINARES ,552.0,27.0,248.0
WILL DAVIS,455.0,35.0,172.0
ADAM TRAMMELL,419.0,29.0,175.0
SCOTT KELLY,321.0,26.0,165.0
ALLAN ESTRADA,590.0,31.0,205.0
TIMOTHY  JOHNSON ,385.0,21.0,195.0
MICHAEL BARBRE,369.0,29.0,155.0
LEONARDO  BROTTO,535.0,24.0,242.0
LARRY TOSTRUD,900.0,12.0,145.0
NICHOLAS ELLIOTT,912.0,14.0,145.0
NIK TAYLOR ,368.0,26.0,165.0
BRYAN TENER,385.0,27.0,165.0
DAVE SERSHEN,467.0,22.0,205.0
JONATHAN ARBOLEDA,453.0,29.0,165.0
JOHN DAVID ROBERTSON,387.0,27.0,165.0
LEONARDO CABALLERO,632.0,30.0,175.0
NESTOR LOPEZ,557.0,16.0,227.0
JASON PANICARO,513.0,26.0,175.0
CRAIG JACOBS,293.0,20.0,135.0
CHRISTIAN HARO,560.0,28.0,170.0
TIM SUPERCZYNSKI,654.0,27.0,185.0
TED DEAN,569.0,28.0,165.0
ALEX GARCIA,536.0,20.0,185.0
ERIC TAYLOR,545.0,8.0,205.0
CLINT GAINES ,425.0,22.0,155.0
ROBERT  FITZPATRICK ,720.0,28.0,175.0
CRAIG WYNN,622.0,28.0,155.0
CHRIS DICKERSON,734.0,8.0,250.0
BRENT HANSARD,636.0,21.0,175.0
ROBERT LOPEZ,696.0,26.0,165.0
CHRISTOPHER FARLEY,453.0,20.0,125.0
RICHARD DINON,638.0,26.0,145.0
BRYAN FOREST,541.0,17.0,145.0
ALFONSO  THOMPSON-SALINAS,656.0,16.0,155.0
OMAR ORTIZ,779.0,25.0,145.0
JOSHUA JURY,588.0,14.0,135.0
BILL ABERBUCH,661.0,22.0,125.0
ROBERT CHRISTIANSEN,720.0,15.0,127.0
JOHN KING,408.0,0,0
TAYLOR WISE,497.0,0,0
JOHN HINTON,0,0,165.0
JAKE JONES,660.0,0,0
BYRON EVETTS,662.0,0,0
