Name,WOD 1,WOD 2,WOD 3
ANTHONY KURZ,379.0,35.0,296.0
HEATH MOODY,351.0,41.0,285.0
RAMON LUIS BENITEZ,412.0,34.0,315.0
DAVID JOHNSTON,398.0,30.0,295.0
ROBERT SMITH,442.0,33.0,310.0
VLAD LIASHKEVICH,391.0,30.0,287.0
JEB  SIMMONS,404.0,31.0,277.0
JEREMIAH  HEAD,349.0,30.0,277.0
ROBERT HENRY,361.0,28.0,309.2
ART HAMILTON,469.0,37.0,297.0
MIKE KERN,393.0,34.0,267.0
BRIAN PIRONE,485.0,40.0,330.0
NICK DESCHENES ,455.0,32.0,287.0
ANDRE NESS,463.0,35.0,285.0
ROBBY  MCCORD,393.0,29.0,285.0
CHAD GONZALES,431.0,31.0,280.0
CHRIS  DAWES ,412.0,31.0,275.0
BYRON JARRIN,417.0,30.0,281.0
JOEL HUGHES,426.0,35.0,267.0
PETE  HOWE ,406.0,28.0,286.0
BRIAN YOAK,439.0,30.0,278.0
JARY JACKSON,413.0,30.0,275.0
JUSTIN  LASALA,386.0,29.0,275.0
JEFF  DIPERNA,406.0,30.0,267.0
MATT MORRIS,431.0,32.0,265.0
MIKE RATNOFSKY,346.0,30.0,258.0
DANNY HALE,526.0,35.0,277.0
ANTHONY  FAZIO ,481.0,29.0,291.0
DJ FORSYTH ,469.0,29.0,287.0
STEFANO FABBRINI,448.0,30.0,269.0
REAGAN PAYNE,446.0,29.0,275.0
JEB BUFFINGTON,445.0,27.0,285.0
TRAVIS LOGSDON,529.0,32.0,275.0
MARCELO RIELA,411.0,29.0,260.0
RYAN RETTKE,468.0,31.0,265.0
LAWRENCE JACOBS,427.0,26.0,285.0
TYSON STOLL,446.0,30.0,265.0
IGNACIO FRANCO,410.0,27.0,270.0
TIAGO LOPES,448.0,29.0,267.0
JOSH KOLMETZ,462.0,28.0,276.0
RICKY BEGNOCHE,354.0,28.0,251.0
ANGEL CARDENAS,409.0,27.0,260.0
ANTHONY GALLET,349.0,30.0,240.0
CHRIS RAIA,442.0,29.0,257.0
PETER KAZANAS,419.0,25.0,275.0
KEITH BUSSOM ,533.0,30.0,270.0
SHAWN METCALF,448.0,26.0,275.0
GARY GONZALEZ,469.0,32.0,245.0
ERIC SPEISER ,534.0,28.0,285.0
JAMES THOMPSON,418.0,27.0,255.0
MANUEL PINEDA,478.0,26.0,277.5
DAVID  HAMEL,388.0,31.0,225.0
CHRIS  SCOTT,451.0,24.0,282.0
ROBERT  SANTORO ,564.0,29.0,277.0
SEAN SEVERIN,466.0,30.0,247.0
MICHAEL HALL,527.0,33.0,245.0
RYAN HATLEY,718.0,30.0,285.0
DAVID SMITH,594.0,30.0,267.0
DALE BARR,449.0,28.0,247.0
ADAM JANESE,458.0,29.0,245.0
TONY DAVIS,622.0,32.0,255.0
JD ST JEAN,817.0,30.0,295.0
LIEF  LARSON,586.0,30.0,255.0
JON CAPOBIANCO,565.0,29.0,260.0
JAVIER  DE LA TORRE ANDERSON,578.0,28.0,266.0
TONY LORUSSO,521.0,28.0,255.0
JASON  TOMLINSON,445.0,27.0,243.0
FOSTER KAALINAGY,593.0,31.0,247.0
CLAUDIO FISCHETTI,452.0,23.0,264.55
MATTHEW ZALANSKY,483.0,30.0,237.0
TODD ROSELLE,459.0,24.0,255.0
DON ZUEHLKE,696.0,26.0,290.0
JOSEPH RENZI,507.0,24.0,265.0
PATRICK DI DODO,600.0,29.0,255.0
TOM FUGIEL,508.0,29.0,242.0
JUAN CARLOS MARTINEZ,660.0,30.0,255.0
IVAN  SANCHEZ,428.0,25.0,235.0
VINCE VOISIN,611.0,29.0,248.0
MATT  KAMINSKI,498.0,25.0,245.0
