Name,WOD 1,WOD 2,WOD 3
JANA SLYDER,513.0,30.0,185.0
MARICRUZ PRIETO,609.0,22.0,160.0
LISA ALTIS,608.0,24.0,155.0
CICI FOUGERE,666.0,21.0,157.0
EVANGELINE GROVER,718.0,21.0,157.0
ROSE WALL,741.0,22.0,175.0
CYNTHIA TRUAX,709.0,19.0,157.0
HEATHER AMBROSE,629.0,19.0,150.0
STEPHANIE JOHNSTON,756.0,22.0,155.0
LISA BRANDON ,744.0,22.0,154.0
AMY SIMPSON,734.0,20.0,150.0
KAREN LUNDGREN,594.0,16.0,150.0
ARDET ROBERTS,704.0,18.0,150.0
FRANCOISE  MAHIER,435.0,18.0,136.68
SHANNA BUNCE,779.0,21.0,155.0
MONICA PETTERSSON,723.0,19.0,148.0
DIANA RUDOLPH,477.0,17.0,136.0
KIM STAMBAUGH,670.0,17.0,140.0
MARNI KALLINS,651.0,17.0,137.5
CARMEN KASSINGER,777.0,19.0,150.0
EBERLE FUNCHES,779.0,18.0,152.0
GINA CACCHIOTTI-WELLNER,677.0,15.0,137.0
SHERAL SERAFINI,777.0,19.0,145.0
RAMNEEK CHAUHAN,861.0,21.0,147.0
STACEY  HASTINGS,770.0,18.0,140.0
ANN MARIE HUBBARD,679.0,14.0,132.0
JAMIE SELLBERG,746.0,16.0,141.0
VIV GUICHENEY,793.0,17.0,147.0
SARAH BENEFIEL,811.0,16.0,150.0
KAREN RODGERS,719.0,12.0,135.0
BETH SEBBY,679.0,13.0,125.0
TRACY HORAK,760.0,14.0,140.0
CHERISE WALMSLEY,735.0,10.0,132.0
DEBBIE GILBERT,720.0,10.0,125.0
ANGIE LONG,769.0,10.0,135.0
THERESA WEISS,777.0,14.0,130.0
LINDA SALVATI,720.0,28.0,100.0
DARCY JONES,735.0,5.0,115.0
YOLANDA  CATE,766.0,5.0,122.0
VALENTINA GIANGREGORIO,852.0,9.0,130.0
SIOBHAN MORSE,874.0,10.0,127.0
BRIDGET DUNTON,781.0,8.0,125.0
CASSANDRA MICHEL,820.0,9.0,120.0
PAGE BURNS,897.0,6.0,122.0
BETH MCELHINNEY,870.0,5.0,120.0
CATHY  MITTELSTADT,919.0,3.0,115.0
CARIANN PERRETTA,935.0,12.0,95.0
BONITA WARD,0,0,0
CARA YOST,0,0,0
CHERIE MEHLER,0,0,0
CHRISTINE RATH,0,0,0
COLLEEN FORESTIER,0,0,0
KAREN ARNOLD,0,0,0
KATHY MAGALESKI,0,0,0
KELLIE DUNLAP,0,0,0
KORINA BESEDNIK,0,0,0
KRISTI  LUNNY ,0,0,0
LISA SPEAKER,0,0,0
MARY GERGEN,0,0,0
ROSA GARCIA,0,0,0
SHERRIE YACALIS,0,0,0
ULRIKA KURTEN,0,0,0
VICTORIA LAURIE,0,0,0
