Name,WOD 1,WOD 2,WOD 3
OLIVIA SULEK,408.0,50.0,191.0
MALLORY O'BRIEN,402.0,44.0,200.0
OLIVIA KERSTETTER,389.0,49.0,181.0
PAULINA  HARO ,461.0,46.0,205.0
LEA MALO,364.0,44.0,180.0
PAIGE POWERS,457.0,41.0,191.0
GIGI SABATINI,353.0,43.0,172.0
KELSEY HEIBECK,482.0,42.0,157.0
CLAIRE TRUAX,503.0,38.0,182.0
MALLORY GARZA,490.0,40.0,167.0
OLIVIA SKOGSTRAND,601.0,44.0,176.0
EMMA LAWSON,437.0,38.0,157.0
EDUARDA SOUZA,595.0,40.0,178.5
KELSEY SCHULTE ,496.0,39.0,160.0
LAUREN SMITH,493.0,38.0,161.0
ARIANA ACOSTA-RAMIREZ,516.0,41.0,151.0
CLAIRE DOTY,606.0,40.0,175.0
KEANNA KRUEGER,543.0,40.0,155.0
SARAH SCHAEFER,561.0,44.0,151.0
AUDREY NADEAU FRÉCHETTE,540.0,40.0,150.0
DARIANA ROSALES ,595.0,37.0,175.0
BELLA  CROWDER,558.0,38.0,155.0
KISLEV  QUIÑONES,678.0,40.0,160.0
CHLOE HONAKER,598.0,37.0,155.0
GRACE  LOCHNER,591.0,39.0,145.0
PIPER DOTEN,468.0,36.0,143.2
LILY MOYER,568.0,37.0,150.0
SAMANTHA DURAN,784.0,40.0,175.0
BRIANNA  MARQUEZ,671.0,36.0,165.0
HANNA VANACOUR,570.0,35.0,147.0
SYDNEY MANN,557.0,34.0,145.0
LAIS MARIA TELLES RANGEL,531.0,31.0,145.2
SOPHIA SHAFT,601.0,35.0,146.0
HANNAH PATTERSON,662.0,38.0,145.0
DANIELA  GUEVARA TRUJILLO,643.0,37.0,145.0
EMMIE MONROE,596.0,33.0,145.5
MARIA JOSE VARGAS ,559.0,36.0,126.0
ISABELLE SEVERS,683.0,33.0,155.0
ELLIE TINKER,510.0,31.0,130.0
MARINA  QUIGLEY,643.0,37.0,137.0
KYLIE STREHL,942.0,38.0,175.0
EVELYN  KIMBALL,653.0,41.0,115.0
ISABEL BAKER,714.0,33.0,155.0
SOPHIA  CHINNICI GAGLIARDO,684.0,32.0,155.0
REGINA VILLALBA CHAVERO,635.0,31.0,145.0
GIANNA RIVERA,710.0,38.0,140.0
KARYSSA  THOMPSON ,680.0,34.0,145.0
CATHERINE DUBÉ,553.0,30.0,130.0
ORLAGH MCGIRL,671.0,34.0,130.1
EMILY TERRY,672.0,31.0,140.0
HANNAH GLYNN,740.0,32.0,147.0
SALEEN  MARISCAL,672.0,29.0,136.0
ERICA SCHRYER,777.0,34.0,135.0
AVERY JOHNSON,720.0,29.0,145.0
AVA KITZI,646.0,28.0,125.0
JAIMEE SUWALKOWSKI,527.0,27.0,110.0
MAELIE BLACKBURN,571.0,25.0,125.0
THEA BOUCHER,689.0,31.0,125.0
KELLI CARTER,783.0,33.0,135.0
TESSA DILLMAN,676.0,26.0,140.0
EMMA CASEY,814.0,27.0,152.0
EMMA  GARDNER,720.0,31.0,125.0
VICTORIA WARE,691.0,31.0,120.0
EIMEAR MCGIRL ,673.0,28.0,112.44
FAITH WYAND,704.0,25.0,125.0
BELLE HEADLEE,649.0,24.0,105.0
MIA LOEWENBERG,864.0,27.0,130.0
ANDREA SVAVARSDÓTTIR,803.0,28.0,122.0
KARENNA  UMSCHEID,713.0,25.0,120.0
PAULA MANSILLA,878.0,29.0,121.0
SKYLER  BENNINGHOFF,1013.0,28.0,130.0
ELIZABETH MACDONALD,790.0,26.0,125.0
GIANNA VAN EVERY,720.0,27.0,115.0
CEDER CRAWFORD,800.0,28.0,115.0
REGINA  BRAVO CERVANTES ,764.0,23.0,120.0
SYD CUMMONS,847.0,24.0,125.0
LILOO THIEFFRY,732.0,27.0,104.0
MADISON  GARBERDING ,892.0,26.0,121.0
XIOMARA CARDONA,886.0,29.0,100.0
LOLA CRAIG,720.0,23.0,95.0
KAYLEE  DE LEON ,720.0,23.0,99.0
CECILIA CROWDER,810.0,21.0,112.0
OLIVIA GOLEMBIEWSKI,930.0,26.0,107.5
PIPER NOWLIN,720.0,13.0,85.0
ASHTIN SMITH,893.0,20.0,115.0
CLAIRE MARTIN,1043.0,23.0,115.0
DAKOTA FARMER,897.0,19.0,105.0
SOPHIA DIGREGORIO,443.0,16.0,115.0
KAYLEIGH TUCKER,880.0,15.0,97.0
JENESIS  PERLOFF,923.0,15.0,95.0
JAZLYN PERLOFF,957.0,12.0,90.0
LAUREN SCARZAFAVA,450.0,36.0,115.0
MARINNES  DEL PINO,633.0,36.0,95.0
ELLA PANATERA,552.0,33.0,75.0
ALYSSA NOVOA,0,0,0
ANDIE LEDOUX,0,0,0
EMA GÁLOVA,0,0,0
EMILY FERNANDEZ,0,0,0
ISABELLA CAMPBELL,0,0,0
JENNA MICHELOTTI,0,0,0
KAILI MALTARICH,0,0,0
LOLA CAVOTTA,0,0,0
MADELYN BONOMINI,0,0,0
TESSA DILLMAN,0,0,0
